Speed (ft/s),Motor Command (ul)
0,0
0.6,0.1
1.6,0.2
2.4,0.3
3.3,0.4
4.2,0.5
5.0,0.6
5.9,0.7
6.7,0.8
7.5,0.9
8.3,1
17.8,1
