Speed (ft/s),Motor Command (ul)
0,0
1.3,0.1
3.4,0.2
5.3,0.3
7.2,0.4
9.0,0.5
10.9,0.6
12.7,0.7
14.5,0.8
16.2,0.9
17.8,1
17.8,1
